date,time_social_media,time_video_streaming,time_gaming,time_productivity,time_education,time_news,time_shopping,time_communication,time_other,compulsive_check_count,tab_switch_frequency,late_night_ratio,active_idle_ratio,avg_session_length_min,daily_goal,goal_alignment_score,mood_score,stress_score,sleep_quality,user_id,risk_score,risk_level
2026-05-03,65.2,44.0,1.2,50.1,125.7,8.8,12.7,40.4,15.5,10,20.19,0.127,0.734,17.8,work,0.614,1.0,3.0,3.0,user_0000,0.4684,moderate
2026-05-04,83.0,35.7,1.0,177.5,100.4,25.0,8.9,42.7,22.6,31,19.33,0.506,0.444,6.0,study,0.699,3.0,4.0,3.0,user_0000,0.6996,high
2026-05-05,79.8,71.5,13.6,104.8,78.4,29.8,13.4,15.7,22.2,21,19.35,0.429,0.834,22.9,study,0.526,3.0,3.0,4.0,user_0000,0.6146,high
2026-05-06,47.4,81.5,22.5,95.3,23.7,8.8,5.9,36.9,22.5,41,4.66,0.626,0.42,16.5,work,0.44,2.0,4.0,2.0,user_0000,0.9329,critical
2026-05-07,68.5,96.4,46.5,102.2,164.5,8.9,0.8,40.4,11.3,20,20.37,0.11,0.831,22.7,study,0.558,2.0,4.0,2.0,user_0000,0.7574,critical
2026-05-08,83.0,66.6,23.3,149.2,84.4,12.5,19.6,28.2,16.0,45,13.74,0.346,0.405,12.1,work,0.575,3.0,4.0,3.0,user_0000,0.8083,critical
2026-05-09,80.6,55.4,1.8,177.9,72.9,29.1,5.0,26.0,16.9,28,18.04,0.217,0.544,11.0,work,0.645,3.0,3.0,4.0,user_0000,0.5573,high
2026-05-10,81.6,34.7,11.9,164.0,29.3,11.0,3.7,25.2,19.0,25,9.37,0.421,0.446,10.1,study,0.601,3.0,4.0,4.0,user_0000,0.5961,high
2026-05-11,76.4,86.9,7.1,82.3,120.2,26.0,3.7,19.8,21.1,44,8.59,0.327,0.689,20.7,study,0.543,3.0,5.0,3.0,user_0000,0.8112,critical
2026-05-12,49.3,67.2,8.2,93.3,93.4,28.6,17.6,44.5,13.7,19,23.21,0.248,0.828,23.4,study,0.6,4.0,4.0,3.0,user_0000,0.5819,high
